Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Cluster_Label
-5.718606481984441,-5.694213418418573,8.744500386452433,4.052215605753597,2.2121997827229203,-1.7545310430874153,-3.0934944687848023,0
-7.079472697256835,-3.495560453633849,9.087432504306026,4.364006533777825,3.9300755071083153,-2.982166408462984,-2.842303802287735,0
-6.618478580762645,-5.224564986674979,10.273609872805654,5.28666217227996,4.69070277288146,-2.0168898033846534,-4.518251380910664,0
-6.886102007656686,-5.594077883168632,8.799086915495767,3.4604839832294916,3.709044240807266,-2.1276553735982717,-1.2329067446310014,0
-5.805220991496137,-5.110695235313064,6.2112318227797445,3.3719875630818374,4.017717365380583,-1.442172686761245,-2.2879617103356877,0
-5.088198620790468,-5.752263339075384,10.165890016928698,6.026406789693294,4.851521783379241,-2.8522482087116354,-4.081566107475465,0
-7.380924819374498,-5.2569222426325,6.352258452217844,4.556954150727135,3.2691109688991284,-2.568827875461419,-2.3050643906806885,0
-5.723326998654877,-2.7825700010774748,7.047214477793004,3.07875711413876,5.048922298091522,-0.8072477047606923,-2.179331561521806,0
-6.6944222181727815,-4.462789933162096,9.845479580525454,2.9258798792066782,4.170982766060894,-0.3484337801148307,-2.6059630130905647,0
-5.69686648286283,-3.505850849475612,8.430179003308155,3.544363757210685,4.393613930276701,-2.808209179032844,-3.2360488930714055,0
-5.6753119725292365,-5.2812572129879545,10.08708691599119,5.646448039526955,4.678217620119147,-1.3473534181613074,-2.6221685376661372,0
-5.182635762607102,-5.284867240885184,8.977967241313278,5.5703360067269,3.9051615264973334,-2.2408777963667355,-1.6912047194840543,0
-6.375930303987916,-4.338243634945304,8.457967661044338,4.594878189457462,5.004207951504514,-2.5545741017933614,-2.850554134835141,0
-6.407873964528503,-4.384930024525701,9.04832458265757,5.03822113657309,5.385227939968672,-1.8856481250486787,-3.3119094894888392,0
-7.31869584204215,-2.8885339202232316,7.926915011969314,4.6355275408857795,5.413239479912901,-1.3584907881455504,-2.175085057121678,0
-5.684252580398637,-3.9940695978751055,11.133065666596487,4.873378863670457,4.350362994793227,-2.421295967020725,-2.860343726987003,0
-7.417745601811373,-3.530267402652623,7.556844187399936,3.947856828030543,4.49781483425193,-2.930726241179585,-3.1668521523416633,0
-6.464695146732208,-5.083198912720244,9.296484366575527,4.253649327679006,3.7148861919071767,-1.5405088924341404,-2.9003251432842707,0
-7.513197462858418,-4.385645445427585,8.894746563345434,4.69898514615549,5.266633631392978,-2.3310731974309236,-2.8592858983883693,0
-7.28061401132273,-2.6694727438978054,6.765848740762294,4.9449250926325945,5.805520353490744,-2.0173188911104054,-3.97485460144204,0
-6.356772463422242,-4.905832589920703,8.831067693316964,2.488753545187956,4.2230471566485415,-1.6999322362157412,-3.1892236781730174,0
-4.095319095891663,-5.68089881096193,9.7786802850561,4.563007212632023,5.5199444016702985,-2.3866304431186847,-3.9483776606655194,0
-8.141690637663446,-3.5460675992816597,7.925402169378021,4.016062505958554,4.80393910922159,-2.727937510650798,-3.0122545519519175,0
-7.345552021100772,-2.712686846988963,6.651987069257219,4.013812271208321,2.861511028728361,-0.7541169061831845,-0.8070545666041982,0
-6.566987867924275,-3.6701567961497337,8.178908829151341,4.0123025816841995,4.132765787302347,-2.0870303841139632,-2.343920515147433,0
-7.473383414550807,-4.699978838913577,8.112224934751332,4.548329926851027,4.4124741251903306,-1.1301797796934998,-1.6099663181575787,0
-4.713741359071863,-4.458430708360949,8.864402717810696,3.869112750244023,3.930734817259884,-1.099717005239424,-2.5859184525193513,0
-5.147338540079597,-3.7192050389519586,6.407123552927239,3.977727985825515,5.213020877646902,-1.478719005805305,-2.350343996724268,0
-6.5393919638191305,-2.759442276703422,8.777333573840222,3.773136136047971,3.8674804646789727,-2.931894906557367,-3.6890836833904954,0
-5.033762554515181,-3.9929384278814726,7.378652904485816,4.517506171752896,4.231793460263894,-0.8879271159962894,-1.569921109052417,0
-6.753540809677565,-4.690501436154621,9.686298418234234,5.302181599003164,4.409136434324706,-2.6230297308153547,-3.398948840485967,0
-7.731778216910536,-4.051165587941223,7.899465343371504,5.485357740386465,4.132259695681421,-4.647311481667588,-2.627842575562559,0
-7.615765766560671,-4.384720590358,9.586210743225935,5.88577572789174,6.4320427174067785,-3.0962433760326924,-2.9627502655780007,0
-6.932448559324464,-5.196516688404471,8.671613029843677,4.693117179079412,3.4173564621353796,-2.3767947434871592,-3.3777994712800092,0
-8.040675301901576,-4.382947383577715,8.270772542290219,3.310154673049997,4.730531672858902,-3.199811382412493,-4.462547476461069,0
-6.720135283232,-3.6497911572970105,7.655169887859337,3.6049190077868722,4.857600271328749,-1.9842439577172115,-2.555387536024586,0
-6.997860069555912,-3.343194593214795,7.868408394817639,3.9145054412321496,5.121167942153159,-2.0748498648886966,-3.1762474216899355,0
-7.268750225365218,-4.566294191347839,9.461801866388525,5.181545906800502,5.033431578026542,-0.0028075316155056207,-2.698026957288757,0
-6.8536981250545015,-3.1620193343803233,8.163812912712558,3.4009067436714155,4.094353827053912,-2.6649181525312384,-3.3256955352888267,0
-6.882598980255292,-4.6141597152620895,8.474895368166967,4.05654540783736,3.526702007452622,-2.5874163904389924,-1.6664175965279575,0
-5.873377113175166,-3.4629234836757656,8.59357655530266,4.789276295164724,3.2179609686872714,-2.0193597495463718,-4.50651954315998,0
-6.835688577180037,-4.110016675596175,9.545743520148568,4.099105813158928,4.8415205056335076,-3.8428693828046265,-0.8349334085802596,0
-7.085523640134167,-4.63437082232791,8.296480452199347,5.149093516137086,3.1323204987913167,-1.3778260283326613,-1.7533994857489212,0
-5.858225204820757,-4.721428090915693,8.704646078667029,3.006251826406581,4.8469126242089775,-1.0348102086464854,-1.7785077202106618,0
-5.893766628954564,-2.7323875697961606,8.865362341764797,4.291508483571546,3.7691954809015424,-1.734919176638696,-4.258433903948221,0
