Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
4,2,20,0.93563,0.92889,0.93468,0.93409,0.9345700000000001,0.9351100000000001
4,7,20,1.0,0.99832,1.0,1.0,1.0,1.0
4,12,20,1.0,0.99699,1.0,1.0,1.0,1.0
4,17,20,1.0,0.9968600000000001,0.9999800000000001,1.0,1.0,1.0
4,22,20,1.0,0.99817,1.0,1.0,1.0,1.0
4,27,20,1.0,0.99802,1.0,1.0,1.0,1.0
4,32,20,1.0,0.99694,1.0,1.0,1.0,1.0
4,37,20,1.0,0.9982300000000001,1.0,1.0,1.0,1.0
4,42,20,1.0,0.9980600000000001,1.0,1.0,1.0,1.0
4,47,20,1.0,0.99818,1.0,1.0,1.0,1.0
4,50,20,1.0,0.9983000000000001,1.0,1.0,1.0,1.0
4,60,20,1.0,0.9989399999999999,1.0,1.0,1.0,1.0
4,70,20,1.0,0.9992300000000001,1.0,1.0,1.0,1.0
4,80,20,1.0,0.99907,1.0,1.0,1.0,1.0
4,90,20,1.0,0.9993299999999999,1.0,1.0,1.0,1.0
4,100,20,1.0,0.9988699999999999,1.0,1.0,1.0,1.0
