Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
2,2,20,1.0,0.99224,1.0,1.0,1.0,1.0
2,7,20,1.0,0.9977199999999999,0.99975,1.0,1.0,1.0
2,12,20,1.0,0.99573,0.99992,0.9999800000000001,1.0,1.0
2,17,20,1.0,0.99548,0.99978,0.9999499999999999,1.0,1.0
2,22,20,1.0,0.9958199999999999,0.9994400000000001,0.9999,1.0,1.0
2,27,20,1.0,0.9961,0.99971,1.0,1.0,1.0
2,32,20,1.0,0.99719,0.99971,1.0,1.0,1.0
2,37,20,1.0,0.9961499999999999,0.99982,1.0,1.0,1.0
2,42,20,1.0,0.9955999999999999,0.9997400000000001,0.9999100000000001,1.0,1.0
2,47,20,1.0,0.99717,0.99999,0.99996,1.0,1.0
2,50,20,1.0,0.9966200000000001,0.99982,1.0,1.0,1.0
2,60,20,1.0,0.99738,0.9999499999999999,0.99996,1.0,1.0
2,70,20,1.0,0.99645,0.99997,1.0,1.0,1.0
2,80,20,1.0,0.9971,1.0,1.0,1.0,1.0
2,90,20,1.0,0.9966200000000001,0.9999,1.0,1.0,1.0
2,100,20,1.0,0.99781,1.0,1.0,1.0,1.0
