Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
5,2,20,0.8632500000000001,0.8556100000000001,0.86305,0.86342,0.86304,0.8633599999999999
5,7,20,1.0,0.99695,1.0,1.0,1.0,1.0
5,12,20,1.0,0.9974399999999999,1.0,1.0,1.0,1.0
5,17,20,1.0,0.99778,1.0,1.0,1.0,1.0
5,22,20,1.0,0.99855,1.0,1.0,1.0,1.0
5,27,20,1.0,0.9974299999999999,1.0,1.0,1.0,1.0
5,32,20,1.0,0.9981899999999999,1.0,1.0,1.0,1.0
5,37,20,1.0,0.9981899999999999,1.0,1.0,1.0,1.0
5,42,20,1.0,0.9987199999999999,1.0,1.0,1.0,1.0
5,47,20,1.0,0.99893,1.0,1.0,1.0,1.0
5,50,20,1.0,0.99929,1.0,1.0,1.0,1.0
5,60,20,1.0,0.99914,1.0,1.0,1.0,1.0
5,70,20,1.0,0.9995200000000001,1.0,1.0,1.0,1.0
5,80,20,1.0,0.9995200000000001,1.0,1.0,1.0,1.0
5,90,20,1.0,0.9992699999999999,1.0,1.0,1.0,1.0
5,100,20,1.0,0.99978,1.0,1.0,1.0,1.0
