Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
3,2,20,0.99931,0.99045,0.9996,0.9996,0.99964,0.9994
3,7,20,1.0,0.99756,1.0,1.0,1.0,1.0
3,12,20,1.0,0.9970000000000001,1.0,1.0,1.0,1.0
3,17,20,1.0,0.99749,1.0,1.0,1.0,1.0
3,22,20,1.0,0.99767,1.0,1.0,1.0,1.0
3,27,20,1.0,0.99476,1.0,1.0,1.0,1.0
3,32,20,1.0,0.99718,1.0,1.0,1.0,1.0
3,37,20,1.0,0.9970700000000001,1.0,1.0,1.0,1.0
3,42,20,1.0,0.99573,1.0,1.0,1.0,1.0
3,47,20,1.0,0.99691,1.0,1.0,1.0,1.0
3,50,20,1.0,0.9958,1.0,1.0,1.0,1.0
3,60,20,1.0,0.99874,1.0,1.0,1.0,1.0
3,70,20,1.0,0.9980100000000001,1.0,1.0,1.0,1.0
3,80,20,1.0,0.9989100000000001,1.0,1.0,1.0,1.0
3,90,20,1.0,0.9984999999999999,1.0,1.0,1.0,1.0
3,100,20,1.0,0.99777,1.0,1.0,1.0,1.0
