Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
6,2,20,0.88067,0.87171,0.88262,0.8823399999999999,0.88215,0.88172
6,7,20,1.0,0.9973000000000001,1.0,1.0,1.0,1.0
6,12,20,1.0,0.9980600000000001,1.0,1.0,1.0,1.0
6,17,20,1.0,0.99817,1.0,1.0,1.0,1.0
6,22,20,1.0,0.9992599999999999,1.0,1.0,1.0,1.0
6,27,20,1.0,0.99924,1.0,1.0,1.0,1.0
6,32,20,1.0,0.99942,1.0,1.0,1.0,1.0
6,37,20,1.0,0.99946,1.0,1.0,1.0,1.0
6,42,20,1.0,0.99931,1.0,1.0,1.0,1.0
6,47,20,1.0,0.99943,1.0,1.0,1.0,1.0
6,50,20,1.0,0.99985,1.0,1.0,1.0,1.0
6,60,20,1.0,0.9997400000000001,1.0,1.0,1.0,1.0
6,70,20,1.0,0.9991899999999999,1.0,1.0,1.0,1.0
6,80,20,1.0,0.99971,1.0,1.0,1.0,1.0
6,90,20,1.0,0.99949,1.0,1.0,1.0,1.0
6,100,20,1.0,0.99962,1.0,1.0,1.0,1.0
