TSNE_Dim_1,TSNE_Dim_2,Cluster_Label
-1.3860881,1.7220985,4
-1.5767616,-3.754637,4
-26.470627,0.9945728,5
0.008010888,26.4253,2
-1.7730787,25.68511,2
-3.4342313,27.55116,2
-7.691664,-26.742212,1
0.6061341,26.330454,2
22.66319,12.001403,3
20.934793,9.286049,3
-28.857027,4.3468785,5
-0.94953096,23.640823,2
20.75113,-18.813768,0
25.553164,7.2872353,3
19.385622,-16.165243,0
23.053286,5.751883,3
-6.34957,-27.63811,1
17.772804,-18.333687,0
-27.731073,2.5122554,5
19.40754,-15.6666,0
-6.2417784,-24.123966,1
-3.0962934,-0.10431946,4
18.77348,-17.831806,0
-10.156709,-24.863596,1
-24.642445,3.9265487,5
22.880884,8.261481,3
19.507835,-18.63838,0
21.310385,-17.551107,0
-1.7803802,-4.4339457,4
24.581495,10.152049,3
-0.034281157,-0.7084529,4
-26.882626,2.7888322,5
0.7615284,27.208778,2
-3.5646288,27.875347,2
22.493372,-15.546757,0
-0.59588623,0.83607525,4
-1.968549,26.673374,2
-1.5446582,25.230465,2
-1.7038833,23.057186,2
21.957516,-19.346664,0
-26.865221,2.2128515,5
-9.234533,-25.961035,1
-27.908983,5.283893,5
23.460714,6.118659,3
-8.7298355,-27.092438,1
23.495527,7.072347,3
-28.939552,3.565155,5
20.463099,-18.153627,0
19.138046,-18.195116,0
-2.1560018,-1.7829294,4
23.040556,9.973402,3
-27.325762,3.8688498,5
-5.819882,-26.74903,1
-29.914022,3.4204936,5
-3.515585,-1.241028,4
-30.23027,4.2616787,5
-27.082397,5.39455,5
-30.201702,3.176116,5
23.11035,9.765019,3
-2.0381503,-0.9244051,4
-4.3108735,26.755753,2
23.210331,7.673701,3
19.024054,-15.814032,0
-28.442791,1.9542398,5
20.178833,-17.919628,0
-26.379984,5.6077223,5
-8.711685,-27.499928,1
23.102575,8.332766,3
-8.135553,-25.36292,1
-2.7014792,-0.961157,4
-0.25935295,27.256725,2
24.88798,9.626421,3
24.073694,10.636305,3
18.276806,-20.321465,0
-28.152094,4.710998,5
-1.3426671,1.5121791,4
-1.8838915,25.982445,2
-25.513445,3.931451,5
-1.3087589,0.19790134,4
-6.9937105,-26.656002,1
-26.093428,2.7275455,5
18.46695,-17.266506,0
-28.80832,5.3620963,5
-25.8426,4.1971874,5
-0.31171444,0.056812238,4
