TSNE_Dim_1,TSNE_Dim_2,Cluster_Label
46.69427,-28.93763,3
37.685455,-14.449804,3
31.322767,-15.005391,3
-12.185207,38.748642,1
-53.38303,-8.339184,4
-53.083878,9.018486,4
29.952448,-30.821125,3
41.637688,15.887567,0
35.406128,11.209273,0
36.3934,17.911972,0
-51.260197,6.065091,4
31.724726,32.118668,0
34.40651,-16.640001,3
-2.6450999,-11.906772,5
-48.157692,10.711373,4
45.392906,17.73992,0
45.346706,-26.938889,3
28.316648,-19.000113,3
34.2463,15.163513,0
-13.781441,-37.99066,2
-40.408005,-1.726916,4
-7.9393578,-3.7493312,5
36.21767,16.999254,0
-34.586582,-6.5109854,4
-56.817528,-3.1350226,4
34.80074,-17.57428,3
1.154322,44.772808,1
-34.2676,-1.2066113,4
-10.207727,43.118782,1
39.641235,-21.057627,3
-14.025297,2.1640782,5
-0.93211526,6.9697013,5
24.045704,-20.79881,3
43.636856,-26.309021,3
-35.436855,4.8189836,4
27.319496,-22.080225,3
-16.619385,-38.9722,2
40.974968,21.480494,0
-39.592575,-5.6021376,4
-45.67398,-0.1844657,4
9.305105,2.598307,5
-13.598777,33.386677,1
-51.855644,4.423932,4
34.66741,8.36558,0
25.854986,14.227193,0
40.689568,23.210054,0
1.2609248,-36.42367,2
-5.593152,3.785113,5
-7.658082,31.099852,1
-5.1468515,-45.438374,2
-42.339024,1.7835144,4
39.97286,-17.538828,3
31.780573,-26.600016,3
35.261642,22.755228,0
25.81817,-18.393103,3
-51.03614,8.124444,4
0.43381348,0.7249183,5
-19.156784,-42.82497,2
-10.69249,-41.218605,2
-6.967569,51.34286,1
-7.556518,31.586275,1
-3.407735,-48.460346,2
-35.521244,4.614058,4
-0.29167828,-6.940479,5
-14.992378,50.3271,1
-38.42532,-4.7602234,4
-40.475945,1.6933028,4
-2.7692332,33.904434,1
-41.29424,-2.6805017,4
-12.034317,-43.81778,2
-3.24414,-4.9251432,5
-48.00327,-1.265144,4
-22.118137,-46.300163,2
-11.466654,-10.251867,5
-7.0962057,33.845776,1
-37.171307,-2.6111956,4
39.58922,16.00866,0
-1.6641803,-9.985441,5
-4.933174,0.024213247,5
-6.8393855,49.483067,1
-16.472437,39.171715,1
30.914553,15.956586,0
-6.840904,-46.663326,2
28.508492,-21.012665,3
34.60768,-25.742348,3
-4.753194,9.490349,5
44.54588,-30.874952,3
-7.902238,9.0886,5
21.549046,16.566133,0
-46.989906,5.866468,4
-34.178265,2.1682837,4
-9.517457,32.46253,1
27.437696,21.26763,0
-14.3242035,-43.662582,2
37.450493,14.1069145,0
32.757652,26.396347,0
34.757404,35.441124,0
-33.89434,6.2366557,4
45.62845,23.51293,0
26.997608,25.328554,0
47.408707,-17.379229,3
-2.28016,33.017593,1
26.205875,21.150787,0
-10.915585,56.56561,1
-56.65764,3.6309884,4
-5.009824,-11.2130785,5
31.83118,-33.97497,3
6.969842,-6.09264,5
35.37867,22.81945,0
-4.5871897,55.17135,1
-37.66562,2.3529894,4
-46.63856,-3.8664014,4
45.611515,-26.649616,3
-17.273726,-45.270573,2
38.69346,-15.135799,3
-6.449706,34.172993,1
-8.752609,36.01295,1
34.532364,-22.1395,3
32.45572,-20.399137,3
42.23938,-21.661343,3
-40.959393,10.647757,4
29.196785,17.675783,0
-5.09499,-46.683346,2
-10.653583,-36.569054,2
-17.040815,39.874695,1
-5.2170115,-0.18206741,5
33.903934,30.01457,0
-0.891524,35.457882,1
-45.334373,3.6689858,4
39.827785,-22.504389,3
-1.4899443,0.0016624948,5
5.006093,6.1411786,5
46.70854,20.199417,0
-13.557072,-4.804513,5
-10.877156,41.45942,1
36.755836,-24.823015,3
-0.8710354,-44.8545,2
-12.296354,-47.487453,2
-44.426624,-4.3611617,4
-10.08719,-53.910088,2
33.883865,-34.003178,3
-10.551273,40.301716,1
42.48186,-19.543674,3
-1.1654661,-3.3405838,5
-2.1022875,-32.950584,2
26.540867,-21.035812,3
-54.168625,-6.550179,4
30.809153,16.64893,0
-37.948833,6.428794,4
-37.118618,7.0475283,4
22.916567,22.69608,0
37.301117,-13.006736,3
-9.626799,-49.743168,2
5.180435,-44.16031,2
32.63668,27.46094,0
-51.42744,-6.164888,4
-42.5381,4.3460083,4
3.0896943,-41.62253,2
44.28816,16.297167,0
33.445274,16.56218,0
-3.160872,34.02363,1
28.07026,-29.664564,3
-11.037222,38.7158,1
-15.651142,37.427795,1
-13.875654,45.545284,1
33.851326,-20.826012,3
-8.36815,-5.448657,5
-42.662235,14.500606,4
38.17886,-21.153713,3
40.04275,-28.32091,3
-4.3568277,-8.338676,5
-0.6754715,5.859531,5
-48.061268,1.4721831,4
-4.787201,46.219475,1
35.379044,-28.127777,3
34.736835,25.764038,0
-2.1321073,-6.3347373,5
-1.5997391,-51.32563,2
-8.569673,44.925785,1
42.770874,30.373346,0
-33.873688,11.146427,4
-0.3715482,-9.63935,5
-45.271507,9.817072,4
2.459707,-42.123566,2
38.656857,17.797499,0
-5.9692802,-4.179552,5
-47.623337,-4.252382,4
-47.001366,3.5819812,4
31.337643,-12.529287,3
1.9099162,-0.018742103,5
-1.7632169,34.074364,1
40.899303,31.876644,0
43.38094,29.755756,0
-52.548275,10.498213,4
-7.1499257,46.5645,1
37.065845,33.318707,0
-13.398693,-45.914776,2
-15.99059,45.131744,1
-13.61062,39.63097,1
25.85525,-29.227638,3
-32.03955,11.093299,4
-9.63481,-48.862274,2
31.179464,-24.862906,3
-3.8645365,35.19313,1
-19.276682,-49.48408,2
27.369036,-18.87091,3
