Cluster,Features,K_Neighbors,Trustworthiness_P5,Continuity_P5,Trustworthiness_P15,Continuity_P15,Trustworthiness_P20,Continuity_P20,Trustworthiness_P50,Continuity_P50,Trustworthiness_P90,Continuity_P90
4,2,20,0.994133387664755,0.9844257893148204,0.9993057873025456,0.997096717979676,0.9994127195894958,0.9975469021028274,0.9996589656907133,0.998367268336855,0.9997119549250426,0.9989210725425093
4,7,20,0.9722824549753495,0.9391333615051816,0.9790529892343295,0.9504418533051616,0.9805952329208171,0.9521861153033504,0.9819894798269444,0.9590760941744642,0.9799773256866887,0.9617244451152028
4,12,20,0.9467779877251232,0.9080432880571486,0.9590455418050106,0.9347066324579937,0.9624429520072441,0.9385029198108463,0.9654721561525305,0.9457590502062583,0.9580828735285241,0.9504167220042258
4,17,20,0.9348197605392897,0.9002464111077574,0.9476879343998389,0.9251010483952108,0.9499465962370459,0.9301662118925446,0.9534897474595029,0.940422644129188,0.9397629560317938,0.9467641291880471
4,22,20,0.927980277693933,0.8961326773317236,0.9397980923634168,0.9237821108763455,0.9414954623201531,0.9278519066304459,0.9430474876748163,0.9383260810946774,0.9277246000603682,0.9448240426602273
4,27,20,0.923522581748667,0.89246310292786,0.9342141422678338,0.9194860167018815,0.9357299064292183,0.9249579776637489,0.9344120535265118,0.9366590381326089,0.9216645698762451,0.9434190502062582
4,32,20,0.919447163698561,0.8861554824429017,0.9301322809135727,0.9183542972129991,0.9322162511319045,0.922807379011973,0.9284456041855318,0.9352810483952108,0.9157769010966899,0.9417572592816179
4,37,20,0.9168657812657209,0.8892314840527215,0.925507849884294,0.9177014226783378,0.9284232860448738,0.9224664533655298,0.9236592333232718,0.9352212214508502,0.9135009518060168,0.94100179897374
4,42,20,0.9144862883589898,0.88517249019016,0.9220494798269443,0.9166754180501057,0.9246462601871416,0.9209330797866987,0.9183301821108762,0.9349290552369454,0.9103034570882385,0.9398924680551363
4,47,20,0.9127958848978771,0.8895335909045176,0.9210790964885804,0.9165720495019619,0.9233437408189958,0.9198772290974946,0.9160368145688702,0.9347389576416139,0.9092227105342591,0.9393833886708924
4,50,20,0.9115507636583156,0.8859104577925345,0.9195887211993159,0.9154415554884797,0.9214933836402052,0.9210718965690714,0.9139088157762352,0.9344521601770802,0.9076376174665458,0.9392091860348122
4,60,20,0.9101629902404668,0.886795460307878,0.916242595834591,0.9138037850890433,0.9182973639199113,0.9184208693027467,0.9102272804105042,0.9331237951504175,0.9042408049099507,0.9380159674011469
4,70,20,0.9075636643525504,0.8870354401851293,0.9135845014588995,0.9133024227789516,0.9152035053828352,0.9180969996981588,0.9073384424992456,0.9335770419559313,0.9031586618372068,0.9376306046886006
4,80,20,0.9059359955729953,0.8851861092665259,0.9115321702384547,0.9116712365429117,0.913909272562632,0.9169968950598651,0.9049956474494415,0.9329876909145791,0.9009444752993259,0.93708750980984
4,90,20,0.9055138565248013,0.8851794989435557,0.9104908622597846,0.911497208974746,0.9122023402756817,0.9160509326894053,0.9025735486467452,0.9327812657208975,0.8998694556796457,0.936704392796056
4,100,20,0.9030413683469162,0.8819106549954724,0.9089958386155548,0.9119738464634269,0.910356782372472,0.9157612476104238,0.902287119428514,0.9328162833283026,0.8992939993963177,0.9367892403662339
