Cluster,Features,K_Neighbors,Trustworthiness_P5,Continuity_P5,Trustworthiness_P15,Continuity_P15,Trustworthiness_P20,Continuity_P20,Trustworthiness_P50,Continuity_P50,Trustworthiness_P90,Continuity_P90
6,2,20,0.9929508783579837,0.9752029117617467,0.9992889485863768,0.9961605996579131,0.9993913935003522,0.9977127940436663,0.9996115806419157,0.9987388469664956,0.9996409357078176,0.9990649119629741
6,7,20,0.9775601167119429,0.9503825918100413,0.984318756414126,0.9663900573498341,0.9850847087232116,0.9693377422275884,0.9862405634369655,0.9731658496830667,0.9838617587282422,0.9753665459301741
6,12,20,0.9642384264010463,0.9382383479223263,0.9722446523795152,0.9573895844652379,0.9737940617768387,0.9604325626320555,0.9751563356474495,0.9652845135325486,0.9696425616259181,0.9686329087433343
6,17,20,0.9565934218734279,0.9349451453868598,0.9652483147197907,0.952948930475903,0.9659931039339974,0.9559549914478317,0.9678933132105846,0.9618637911258676,0.9596197746252139,0.9657262863467149
6,22,20,0.9530045598148706,0.9338427145588089,0.9595824227789516,0.9514600321963981,0.9606582513331323,0.9536498681959956,0.9615250628835899,0.9603073045578024,0.9530851091659123,0.9639953335345608
6,27,20,0.9486675762149108,0.9310713431934801,0.9559859985914075,0.9494811127880068,0.9570630526209879,0.9524747942448939,0.9563717335748064,0.9595910312908743,0.9493630828051112,0.9629639802797063
6,32,20,0.9469378790622799,0.9304652359392294,0.9530744722809135,0.9483356715967403,0.9540997967602374,0.9509258275480431,0.9535839058255359,0.9589742589797766,0.9471356112284939,0.9621375228896267
6,37,20,0.9460199335949292,0.9290373598953618,0.9510253204547742,0.9476536874937116,0.9520890874333434,0.9499779333937015,0.9495912486165611,0.9581842499245397,0.9450570359191066,0.961426171647047
6,42,20,0.943844622195392,0.9277260368246303,0.9490450568467651,0.94657363316229,0.9506698822819196,0.9492130737498743,0.948275820505081,0.9580648375088038,0.9434100372270852,0.9609158989838011
6,47,20,0.9421849340979978,0.9265762511319046,0.9470038414327399,0.9455737720092564,0.9483402716571083,0.9481962551564543,0.9458158426401048,0.9576481758728241,0.9419139832981186,0.9604301599758528
6,50,20,0.9424445799376195,0.9285542187342791,0.9469126914176477,0.9454624871717479,0.9487135104135225,0.9482557963577825,0.9447784243887715,0.9575488499849077,0.9416047449441594,0.9603339148807729
6,60,20,0.9403133152228594,0.9262919971828153,0.9450585692725626,0.9451145527719087,0.9461514277090252,0.9471997524901901,0.9427163316228998,0.9567768085320455,0.9395700311902605,0.9596505402958044
6,70,20,0.9390395874836504,0.9251202797062078,0.9435542549552268,0.9444183700573497,0.9452004366636484,0.9468288741322063,0.9406103048596437,0.9568079303752893,0.9386064030586578,0.959290904517557
6,80,20,0.9380877955528726,0.9277781929771605,0.9424697293490292,0.9439763074756012,0.9437486930274676,0.9466596941342188,0.9392841875440184,0.9565076828654794,0.9374362893651272,0.9592280209276589
6,90,20,0.9376551846262199,0.9247789254452158,0.9416591789918505,0.9429278840929671,0.9431271636985613,0.9463309950699266,0.9389014951202335,0.9564854955226885,0.9367428695039743,0.9588221571586677
6,100,20,0.9368844833484254,0.9269626883992355,0.9405264292182314,0.9425972129992957,0.9413676788409295,0.9457134158366033,0.9373889687091256,0.9559567220042255,0.9362442881577623,0.9584864835496528
