Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Cluster_Label
-2.2728242164095365,-1.002001495319222,8.021775742296192,-3.5916166315047295,-6.043165544581985,5.994026798040168,10.099458632354777,2.9010877583009895,7.354139403856753,5.297243027918998,-4.556412100477064,6.662900326587118,5.44945131789845,-3.5192599755028238,0.016822885491713846,-2.4197710926091993,-8.328923766244534,3
-0.6794051576645816,-4.326256213100605,2.4634523221555247,0.5207839901041792,2.621938033787833,3.641866779433688,-2.4615836354663143,-0.40782478981585557,2.182551167313325,-5.629750479775005,-2.8911192444658016,-5.558568560469811,3.990312123057288,8.90884624510487,-6.908669680139765,-7.690011533507597,7.929947893080911,0
-1.9492122995016272,-3.678616176519046,5.286907883240962,-0.3490870616875359,3.578108632434254,3.254163738399469,-3.2072910094180447,-3.2500998068572793,1.86357024817625,-5.390573449089885,-3.31090626092589,-6.797789653367712,4.470985770531214,9.176865213279875,-8.47722436101351,-8.204906070116307,7.8771795209114535,0
-6.231507183082421,-7.678444501314796,-2.3331525433388034,7.278036179422745,3.798324676356131,-8.465740949846772,-2.651908087289958,5.163642668272428,3.3219256157253945,-10.534718948016316,4.5809965812909965,2.4421868470671635,-5.003645539769132,-9.090489962789741,-4.2068092976305405,8.345081719965433,-2.2846118383156293,4
-5.702044573726903,6.086039790356967,6.972344392166804,1.9948739187882296,4.545317166216446,-6.218347202417045,9.489353356428849,8.19346087348338,10.221783323962683,3.1656588879936454,-2.579177962178664,-6.152980507467124,6.306732121982453,-7.390484081119732,-5.971418450888105,-2.5390429582735967,0.961338073090132,2
-1.4575272424314938,-3.3758143021026052,3.2765267099095,1.572452392467232,2.029848388014144,4.444144435922038,-1.9534097056086241,-2.527757236964387,1.7889019509141142,-3.916373382187272,-4.667375012237944,-6.271480408379307,2.6179152698625563,6.691753101553746,-7.50975716224757,-7.330583309806428,8.528916228309965,0
9.249900292548213,-2.3687807373603347,7.954950345530598,0.6124806009871215,5.4054162693652525,-3.802074765136442,-7.543888351723989,3.576323451219493,-4.237550580915657,5.7351001796554435,-4.528724760718038,-5.102324752688599,-0.867976025781459,-7.695022428045473,7.022117241563184,7.527533327382623,-2.3494681909602186,1
8.558194042090502,-2.641736663310116,7.928350194283838,-0.27584591900600675,6.711555207953955,-5.944429930850197,-8.383463087902228,3.7552595832978075,-4.197517256831461,6.763469518191706,-4.117970435369158,-6.46525696202961,-2.4832296830230756,-7.370697583075476,6.993096128695455,5.936689381421187,0.06568873361503025,1
-5.274527916637263,-8.169942915243027,-3.243705841753189,9.138155807834258,4.879990820677626,-8.003039239630892,-4.054371025512629,4.323330953716833,3.524305775685531,-8.433633509826192,3.7023363507644236,-0.13131199233582191,-6.150026566790752,-9.306380490125864,-4.396434025540531,7.3802677633378595,-3.030942296834798,4
-5.047264430935673,5.952426033403892,7.264477539779195,-0.009367122419956964,5.387609870355215,-5.2579452739003525,8.187108930844174,6.712782539343559,6.41385443996628,2.2322385230692174,-2.651274175434655,-6.267908330753136,6.247870626776495,-9.218445909341972,-8.378046684500827,-3.480144520828532,1.4561152201397627,2
-4.582432124258715,-0.7653138665911345,7.313662295183257,-4.0119556809130295,-5.806273854494453,3.8060539859224654,7.6390142405292885,3.469466316449056,5.724322169644767,5.939079508020406,-5.45415871693546,4.979029198622173,4.4644691348640695,-6.393270850047799,-0.38385525493251227,-3.46673569217821,-5.895505682446444,3
-5.041359222274875,-7.781413955179614,-1.9927964746947682,5.892021777466249,3.8228694815997866,-7.835942246439917,-3.5503169938198504,5.884688820723304,3.746219423409186,-8.79883936685985,2.863007786749957,1.5773526453747564,-4.8281977912054135,-9.071654047500619,-4.270235716446811,10.229361513374801,-2.5543088962008738,4
-4.59923154656383,0.06994929977918951,9.491651376939231,-5.2179934154349565,-6.127631440945001,4.410471836759738,8.624621318684582,2.929888663696579,8.352532296642519,5.128680805015138,-5.343320713171856,5.5323070963374885,5.822750803791815,-4.720266922114579,2.0856719431105697,-1.206715538393362,-7.507958959674878,3
-5.060407836118606,8.509624697905927,6.867218826879956,3.3530455129018275,5.0499653714026085,-6.116502417559207,10.302069335012748,10.419629355460877,9.663216582652671,5.681828400841499,-3.1880645406166357,-7.869194233873328,6.109728047291993,-9.65044865443634,-9.158122106971032,-1.1683009643373765,1.4458303083216784,2
7.559825053903758,-2.088809685408142,8.03517868583,0.7274752622767193,4.457009850210356,-5.4624684302943125,-7.449357107143614,3.078424750690255,-2.690854867274631,6.799108993109172,-5.118099321843494,-5.102170512725714,-0.9313000897306702,-8.801751014667408,7.2881674512959815,7.446093098532412,-1.035551370857843,1
-5.29679941781621,-6.387903581537945,-2.5065585236076364,7.26651614312797,5.157264253443719,-6.769459480499646,-2.590164042316647,4.69153652988113,1.3755062634877107,-8.408773759675354,3.520924508085137,2.0017857591756503,-3.534786461909775,-7.376833456987109,-2.5598913514055717,8.580637853860486,-2.638075435294723,4
8.215268909397267,-2.209575720261448,7.91508676026064,0.7272607150613465,5.981953217909687,-3.960684170162246,-7.7939065668010565,3.7717030157135327,-4.261104542558728,6.180343500622801,-4.583406345273364,-3.478905862821178,-1.520188053577004,-6.200643525367695,8.036873745608041,7.491932538373715,-0.5515722564661976,1
-2.5291535903320965,-0.5114735383466954,6.963335991496968,-4.89114142805448,-5.535781642678273,6.426053660604599,7.604943820226407,3.291172834339681,5.380234774067375,4.04432515972633,-6.750944708714063,4.5774521105980615,6.787014861349128,-5.9398108385195245,0.452396748844193,-2.4970173930511286,-7.621807985478469,3
