Cluster,Features,Spearman_Original,Spearman_TSNE_P5,Spearman_TSNE_P15,Spearman_TSNE_P20,Spearman_TSNE_P50,Spearman_TSNE_P90
3,2,1.0,0.26753852242194076,0.6210183218021452,0.6470052595869645,0.7048572410581919,0.7042327496090927
3,7,1.0,0.5741949460543511,0.6051440762985727,0.6264314057632107,0.693005320666545,0.7036771534512782
3,12,0.9999999999999999,0.5453014752169884,0.5950851199705799,0.6565828735686435,0.6543798005764863,0.6442420797383619
3,17,1.0,0.5962336235537329,0.6372501525580379,0.6605967803339282,0.6694542846638251,0.7230648546072532
3,22,1.0,0.6018535452278937,0.6617280452096254,0.6644900851534956,0.651760893297066,0.6832935599778542
3,27,1.0,0.5719486006823153,0.64523420106266,0.613683444180689,0.6482922898206515,0.6428095232028332
3,32,1.0,0.589487710056945,0.6434748938460396,0.706321586153934,0.6894036689780606,0.75392987289631
3,37,1.0,0.6092812270486612,0.6314884270157304,0.6572976742699587,0.6435386888634527,0.5241624721301584
3,42,0.9999999999999999,0.5685662226643304,0.6724254192762893,0.6533982817973603,0.672565467706092,0.7157433887744559
3,47,1.0,0.6141035919112408,0.6340779355502368,0.6532246470720725,0.7016710273227083,0.6867148553111344
3,50,1.0,0.35399283526369385,0.4367726898508996,0.4713800385990343,0.8322946354738943,0.7307910243844867
3,60,1.0,0.5894099630609468,0.6499634685356188,0.5355477911752019,0.6957977546368321,0.5643701055312552
3,70,1.0,0.5967577754426003,0.7010541315109753,0.5733021325035211,0.5518706705419286,0.7471460400506058
3,80,1.0,0.6008490484023777,0.6536109070500554,0.6359290413200016,0.6584165260012973,0.7725743564750402
3,90,0.9999999999999999,0.6060407936481399,0.46701945687763186,0.6625040518397298,0.5869531368470474,0.6683179998833845
3,100,0.9999999999999999,0.7119506193408539,0.6630575997908231,0.6821451644241641,0.6079685335723662,0.5393801999878549
