Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
2,2,20,0.9997,0.9940899999999999,1.0,1.0,1.0,1.0
2,7,20,1.0,0.9977499999999999,0.99992,1.0,1.0,1.0
2,12,20,1.0,0.99598,0.99993,0.99997,1.0,1.0
2,17,20,1.0,0.9968600000000001,0.99949,0.99986,1.0,1.0
2,22,20,1.0,0.99569,0.99971,0.9999,1.0,1.0
2,27,20,1.0,0.9952799999999999,0.9995499999999999,0.99982,1.0,1.0
2,32,20,1.0,0.99638,0.99976,0.9999800000000001,1.0,1.0
2,37,20,1.0,0.9957900000000001,0.9998900000000001,1.0,1.0,1.0
2,42,20,1.0,0.99671,0.99976,0.99996,1.0,1.0
2,47,20,1.0,0.99703,0.9999,1.0,1.0,1.0
2,50,20,1.0,0.99731,0.99982,0.9999800000000001,1.0,1.0
2,60,20,1.0,0.99673,0.9999,0.99996,1.0,1.0
2,70,20,1.0,0.9968899999999999,0.9999100000000001,1.0,1.0,1.0
2,80,20,1.0,0.99685,0.9999800000000001,1.0,1.0,1.0
2,90,20,1.0,0.99749,1.0,1.0,1.0,1.0
2,100,20,1.0,0.99674,1.0,1.0,1.0,1.0
