Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
3,2,20,0.99285,0.98674,0.9925900000000001,0.99231,0.99223,0.9925599999999999
3,7,20,1.0,0.9974500000000001,1.0,1.0,1.0,1.0
3,12,20,1.0,0.99645,1.0,1.0,1.0,1.0
3,17,20,1.0,0.99573,1.0,1.0,1.0,1.0
3,22,20,1.0,0.99716,1.0,1.0,1.0,1.0
3,27,20,1.0,0.9976499999999999,1.0,1.0,1.0,1.0
3,32,20,1.0,0.9964999999999999,1.0,1.0,1.0,1.0
3,37,20,1.0,0.9979799999999999,1.0,1.0,1.0,1.0
3,42,20,1.0,0.99603,1.0,1.0,1.0,1.0
3,47,20,1.0,0.9962500000000001,1.0,1.0,1.0,1.0
3,50,20,1.0,0.99817,1.0,1.0,1.0,1.0
3,60,20,1.0,0.9987999999999999,1.0,1.0,1.0,1.0
3,70,20,1.0,0.9985099999999999,1.0,1.0,1.0,1.0
3,80,20,1.0,0.9983000000000001,1.0,1.0,1.0,1.0
3,90,20,1.0,0.9990500000000001,1.0,1.0,1.0,1.0
3,100,20,1.0,0.9978999999999999,1.0,1.0,1.0,1.0
