Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
6,2,20,0.89503,0.88536,0.89521,0.8949999999999999,0.8958,0.89564
6,7,20,1.0,0.99756,1.0,1.0,1.0,1.0
6,12,20,1.0,0.9980800000000001,1.0,1.0,1.0,1.0
6,17,20,1.0,0.99821,1.0,1.0,1.0,1.0
6,22,20,1.0,0.99882,1.0,1.0,1.0,1.0
6,27,20,1.0,0.99861,1.0,1.0,1.0,1.0
6,32,20,1.0,0.9991,1.0,1.0,1.0,1.0
6,37,20,1.0,0.9993399999999999,1.0,1.0,1.0,1.0
6,42,20,1.0,0.9991300000000001,1.0,1.0,1.0,1.0
6,47,20,1.0,0.99922,1.0,1.0,1.0,1.0
6,50,20,1.0,0.9989800000000001,1.0,1.0,1.0,1.0
6,60,20,1.0,0.99949,1.0,1.0,1.0,1.0
6,70,20,1.0,0.99957,1.0,1.0,1.0,1.0
6,80,20,1.0,0.99954,1.0,1.0,1.0,1.0
6,90,20,1.0,0.9998100000000001,1.0,1.0,1.0,1.0
6,100,20,1.0,0.9998100000000001,1.0,1.0,1.0,1.0
