Cluster,Features,Spearman_Original,Spearman_TSNE_P5,Spearman_TSNE_P15,Spearman_TSNE_P20,Spearman_TSNE_P50,Spearman_TSNE_P90
5,2,1.0,0.13210974493391156,0.4459022234985404,0.4312647041146072,0.47472695376391166,0.5404218662553972
5,7,1.0,0.2836382710359318,0.3633325500569226,0.33977262170899436,0.34387625388835114,0.3256969840949643
5,12,1.0,0.43448877783129414,0.4081734543222931,0.3109024385234018,0.282578582493412,0.2772690717795808
5,17,1.0,0.3894007094441178,0.38776280276392494,0.4170381979236254,0.3960674356058743,0.35967106056696047
5,22,1.0,0.3656942222712704,0.5012250003526046,0.5101367374815153,0.4785927704341303,0.38363050609631666
5,27,0.9999999999999999,0.552928192127584,0.5471629164057,0.5821503089007011,0.5364843546192222,0.5343441212759936
5,32,1.0,0.5306802963794176,0.5550653093430528,0.5732888024997449,0.6118501835063723,0.6282434197245097
5,37,1.0,0.5193476637427517,0.575000835056789,0.47092356062196405,0.5224549544052629,0.5065335523279411
5,42,1.0,0.4479161035294098,0.4889263041862907,0.47543526866445346,0.45194462844616573,0.44584668062113525
5,47,0.9999999999999999,0.4215415276948176,0.321134783846924,0.2617684144116448,0.6127468621376918,0.6114438524966214
5,50,0.9999999999999999,0.354635577286729,0.284632897399218,0.3978065042943634,0.3214279582212596,0.3492410828068975
5,60,1.0,0.5984059913858714,0.383338149857937,0.4937885404695061,0.44479915913429136,0.24945374665486783
5,70,1.0,0.6099224432517193,0.4622081562961132,0.4815138456798315,0.6523544086271682,0.815505943496347
5,80,1.0,0.5771400969983653,0.5755159754494474,0.5025083929372854,0.6527882085537763,0.6518049331310031
5,90,1.0,0.5285266388172919,0.4931596773541018,0.2814659148805345,0.4217851533724004,0.5072917549966579
5,100,1.0,0.6402065061599522,0.37666705053697397,0.5161606980845104,0.4009189422578748,0.5002442755560988
