Cluster,Features,Spearman_Original,Spearman_TSNE_P5,Spearman_TSNE_P15,Spearman_TSNE_P20,Spearman_TSNE_P50,Spearman_TSNE_P90
3,2,1.0,0.41204769331426505,0.6900998192151357,0.6905028757939183,0.7874094392248004,0.818791098211721
3,7,1.0,0.5262193362292483,0.6360222167903006,0.6626191224166734,0.6825085253969817,0.6833523206351935
3,12,1.0,0.5734426492022582,0.6577249887958241,0.6832728359788559,0.6946168248335901,0.729985714771187
3,17,1.0,0.5895669293279582,0.6366466204904808,0.642475689974768,0.6678417111932916,0.6535929710567571
3,22,1.0,0.5750921980967683,0.6407535796210022,0.4484106576472507,0.6637092919279688,0.6362883727264145
3,27,1.0,0.5835773813218406,0.6660586097411394,0.6616141099947543,0.6479027038101447,0.6776372634798851
3,32,0.9999999999999999,0.554744033522326,0.6496099105003258,0.6538675833304913,0.6846501582654034,0.7227470660445129
3,37,1.0,0.593374248479405,0.6805282396331981,0.6730769648791427,0.7990500162277206,0.6311293185339563
3,42,0.9999999999999999,0.6658364196265062,0.6471851957502123,0.6543242379744812,0.763324418142221,0.7277952069002376
3,47,1.0,0.4975316041851508,0.664351705490873,0.6778024615563021,0.7102940377057098,0.7022600940900537
3,50,1.0,0.6109774583329188,0.6747076811397162,0.6553867269481529,0.4842670548920077,0.6771202312574015
3,60,1.0,0.6044329626998474,0.6723908454547532,0.6777046437584399,0.7162531765625232,0.555849750257775
3,70,1.0,0.5959871075767267,0.6624770033828793,0.6550965699984518,0.5688562679011488,0.7474862402331579
3,80,0.9999999999999999,0.58875735366181,0.84623651292134,0.6830467638101855,0.6706652950633268,0.8351534003621441
3,90,1.0,0.6015572868450474,0.6507554818468805,0.6739391242480497,0.6759045404501762,0.5195081589786529
3,100,0.9999999999999999,0.7112542373979661,0.6609855873265532,0.6753662307446947,0.6656646160936462,0.869209284089527
