Feature_1,Feature_2,Cluster_Label
-2.8954484621112355,4.9608604870778485,0
-3.896170953119927,-5.6495931828435575,1
-1.5162867337754422,4.773617830998394,0
-4.35541396768528,-7.195754415322151,1
-4.786806690083303,-8.092855224838061,1
-3.305788946356003,5.509133516271202,0
-3.0885298683765123,-6.900517781620183,1
-4.987411788767068,-7.972702178343898,1
-4.089859749587251,6.534334765893705,0
-1.278992773163189,6.5349897334471585,0
-2.2146079682494326,7.118058439268589,0
-3.7299478923897222,-7.747452520732957,1
-1.660140201293971,6.103120630342655,0
-3.3133434793984184,4.285593648322035,0
-1.8265715340175075,5.699169409906468,0
-1.8467799743458584,5.543413170165634,0
-4.1639987406789,-6.958834630032338,1
-2.8477248108822413,-7.854501686595551,1
-2.189446911948589,6.376555343871385,0
-3.0614233515584104,-8.656743310480833,1
-2.1845918126674646,5.830255795649776,0
-4.128668998347474,-6.0644692789328865,1
-2.7683531196890936,5.641834539655517,0
-3.2156790216530076,6.50786995883494,0
-2.9500811182885807,-6.206920840393961,1
-3.8280659640898396,-4.816928375740015,1
-3.9712044452490582,-8.51948209585536,1
-4.296689609632049,-8.380888345731378,1
-1.6206549176242044,5.827466849670719,0
-1.7584917716507134,5.836634073259271,0
-1.5259695355735512,6.494325356866207,0
-4.654879741804383,-8.346780543671196,1
-3.926401842537364,-7.522749250674067,1
-6.666719131449061,-6.4944859774226655,1
-5.086449504531053,-7.807319941783771,1
-3.791102541518399,-5.949709985926244,1
-6.755156229305421,-7.373843777532571,1
-3.4281494907323946,6.639041038168638,0
-3.839192971100342,-7.933889990352617,1
-4.742841711035569,-7.333858154546383,1
-2.54997121257661,6.430882633182783,0
-3.2501500088841,5.601385802457555,0
-4.3910800058659385,-9.760556326651397,1
-1.566915750952248,6.457087336150908,0
-4.066954687446565,-6.05043585453733,1
-2.3254737173070557,4.875417514521011,0
-4.454321751488708,-7.4631261157954745,1
-4.111931152944012,-6.913837377116303,1
-1.5847841823491116,6.236972331579002,0
-4.591833305394765,-7.300558279642829,1
-2.0248362981888,6.521934801029903,0
-2.886549827883513,6.221749809058734,0
-5.227090238688191,-6.927646338438972,1
-4.21388211206459,-6.260744301442245,1
-3.5835599668386124,-6.506475647322829,1
-4.840880076038103,-5.187171501307162,1
-0.9256967021028986,6.607264795665776,0
-5.612402930155565,-6.881991004800779,1
-4.515088245476634,7.0918813882236655,0
-4.639829500518768,-5.301619538144541,1
-3.751210380683825,-6.3813688710858045,1
-4.029437986595953,6.030732001968899,0
